Company,Employees,Headquarters,Revenue,Stock Price,Year Established
Salesforce,49000,San Francisco,$17B,213.14,1999
Microsoft,166000,Redmond,$143B,212.65,1975
Uber,26000,San Francisco,$14B,55.22,2009
Lyft,5600,San Francisco,$3B,47.88,2012
Facebook,52000,Menlo Park,$70B,251.36,2004
Intel,110000,Santa Clara,$71B,57.58,1968
IBM,352000,Armonk,$77B,128.39,1911
Google,132000,Mountain View,$66B,1727.62,1998
Bloomberg,20000,New York,$10B,N/A,1981
Amazon,1225000,Seattle,$280B,3104.25,1994
Adobe,22000,San Jose,$11B,458.08,1982
Apple,137000,Cupertino,$260B,127.14,1976
